"authors","title","update_date","abstract","nrc_sen","vader_sen","year"
"Rezaul Karim, He Zhao, Richard P. Wildes, Mennatullah Siam","MED-VT: Multiscale Encoder-Decoder Video Transformer with Application to
  Object Segmentation",2023-04-13,"multiscale video transformers explored wide variety vision tasks date however multiscale processing confined encoder decoder alone present unified multiscale encoderdecoder transformer focused dense prediction tasks videos multiscale representation encoder decoder yields key benefits implicit extraction spatiotemporal features ie without reliance input optical flow well temporal consistency encoding coarsetofine detection highlevel eg object semantics guide precise localization decoding moreover propose transductive learning scheme manytomany label propagation provide temporally consistent predictions showcase multiscale encoderdecoder video transformer medvt automatic video object segmentation avos actoraction segmentation outperform stateoftheart approaches multiple benchmarks using raw images without using optical flow",6.9,0.836,2023
"Srivatsa Kundurthy","LANTERN-RD: Enabling Deep Learning for Mitigation of the Invasive
  Spotted Lanternfly",2022-05-16,"spotted lanternfly slf invasive planthopper threatens local biodiversity agricultural economy regions northeastern united states japan researchers scramble study insect great potential computer vision tasks detection pose estimation accurate identification important downstream implications containing slf however currently publicly available dataset training ai models enable computer vision applications motivate advancements challenge invasive slf problem propose lanternrd first curated image dataset spotted lanternfly lookalikes featuring images varied lighting conditions diverse backgrounds subjects assorted poses vggbased baseline cnn validates potential dataset stimulating fresh computer vision applications accelerate invasive slf research additionally implement trained model simple mobile classification application order directly empower responsible public mitigation efforts overarching mission work introduce novel slf image dataset release classification framework enables computer vision applications boosting studies surrounding invasive slf assisting minimizing agricultural economic damage",5.5,0.967,2022
"Ningli Xu, Rongjun Qin, Shuang Song","Point Cloud Registration for LiDAR and Photogrammetric Data: a Critical
  Synthesis and Performance Analysis on Classic and Deep Learning Algorithms",2023-02-15,"recent advances computer vision deep learning shown promising performance estimating rigidsimilarity transformation unregistered point clouds complex objects scenes however performances mostly evaluated using limited number datasets single sensor eg kinect realsense cameras lacking comprehensive overview applicability photogrammetric d mapping scenarios work provide comprehensive review stateoftheart sota point cloud registration methods analyze evaluate methods using diverse set point cloud data indoor satellite sources quantitative analysis allows exploring strengths applicability challenges future trends methods contrast existing analysis works introduce point cloud registration holistic process experimental analysis based inherent twostep process better comprehend approaches including featurekeypointbased initial coarse registration dense fine registration cloudtocloud cc optimization ten methods including classic handcrafted deeplearningbased feature correspondence robust cc methods tested observed success rate algorithms fewer datasets tested still large margin improvement upon existing algorithms concerning d sparse corresopondence search ability register point clouds complex geometry occlusions evaluated statistics three datasets conclude bestperforming methods step provide recommendations outlook future efforts",11.75,0.977,2023
"Sainyam Galhotra and Yue Gong and Raul Castro Fernandez","METAM: Goal-Oriented Data Discovery",2023-04-19,"data central component machine learning causal inference tasks availability large amounts data sources open data repositories data lakes data marketplaces creates opportunity augment data boost tasks performance however augmentation techniques rely user manually discovering shortlisting useful candidate augmentations existing solutions leverage synergy discovery augmentation thus exploiting data paper introduce metam novel goaloriented framework queries downstream task candidate dataset forming feedback loop automatically steers discovery augmentation process select candidates efficiently metam leverages properties data ii utility function iii solution set size show metams theoretical guarantees demonstrate empirically broad set tasks demonstrate promise goaloriented data discovery modern data science applications",7.7,0.942,2023
"Yuxin Wang, Jieru Lin, Zhiwei Yu, Wei Hu, B\""orje F. Karlsson","Open-world Story Generation with Structured Knowledge Enhancement: A
  Comprehensive Survey",2023-03-27,"storytelling narrative fundamental human experience intertwined social cultural engagement researchers long attempted create systems can generate stories automatically recent years powered deep learning massive data resources automatic story generation shown significant advances however considerable challenges like need global coherence generated stories still hamper generative models reaching storytelling ability human narrators tackle challenges many studies seek inject structured knowledge generation process referred structured knowledgeenhanced story generation incorporating external knowledge can enhance logical coherence among story events achieve better knowledge grounding alleviate overgeneralization repetition problems stories survey provides latest comprehensive review research field present systematical taxonomy regarding existing methods integrate structured knowledge story generation ii summarize involved story corpora structured knowledge datasets evaluation metrics iii give multidimensional insights challenges knowledgeenhanced story generation cast light promising directions future study",10.6,0.951,2023
"Jack Stelling and Amir Atapour-Abarghouei","""Just Drive"": Colour Bias Mitigation for Semantic Segmentation in the
  Context of Urban Driving",2021-12-03,"biases can filter ai technology without knowledge oftentimes seminal deep learning networks champion increased accuracy else paper attempt alleviate biases encountered semantic segmentation models urban driving scenes via iteratively trained unlearning algorithm convolutional neural networks shown rely colour texture rather geometry raises issues safetycritical applications selfdriving cars encounter images covariate shift test time induced variations lighting changes seasonality conceptual proof bias unlearning shown simple datasets mnist however strategy never applied safetycritical domain pixelwise semantic segmentation highly variable training data urban scenes trained models baseline bias unlearning scheme tested performance colourmanipulated validation sets showing disparity miou original rgb images confirming segmentation networks strongly depend colour information training data make classification bias unlearning scheme shows improvements handling covariate shift best observed case performs consistently better classifying human vehicle classes compared baseline model",6.5,0.949,2021
"Kexin Feng, Jacqueline B. Duong, Kayla E. Carta, Sierra Walters, Gayla
  Margolin, Adela C. Timmons, Theodora Chaspari","A few-shot learning approach with domain adaptation for personalized
  real-life stress detection in close relationships",2022-10-28,"design metric learning approach aims address computational challenges yield modeling human outcomes ambulatory reallife data proposed metric learning based siamese neural network snn learns relative difference pairs samples target user nontarget users thus able address scarcity labelled data target snn minimizes wasserstein distance learned embeddings target nontarget users thus mitigating distribution mismatch two finally given fact base rate focal behaviors different per user proposed method approximates focal base rate based labelled samples lay closest target based minimizes wasserstein distance method exemplified purpose hourly stress classification using reallife multimodal data dating couples results fewshot oneshot learning experiments indicate proposed formulation benefits stress classification can help mitigate aforementioned challenges",0.8,0.077,2022
"Tim Hahn, Hamidreza Jamalabadi, Erfan Nozari, Nils R. Winter, Jan
  Ernsting, Marius Gruber, Marco J. Mauritz, Pascal Grumbach, Lukas Fisch,
  Ramona Leenings, Kelvin Sarink, Julian Blanke, Leon Kleine Vennekate, Daniel
  Emden, Nils Opel, Dominik Grotegerd, Verena Enneking, Susanne Meinert, Tiana
  Borgers, Melissa Klug, Elisabeth J. Leehr, Katharina Dohm, Walter Heindel,
  Joachim Gross, Udo Dannlowski, Ronny Redlich, Jonathan Repple","Towards a Network Control Theory of Electroconvulsive Therapy Response",2021-12-15,"electroconvulsive therapy ect arguably effective intervention treatmentresistant depression large interindividual variability exists theory capable predicting individual response ect remains elusive address posit quantitative mechanistic framework ect response based network control theory nct empirically test approach employ predict ect treatment response end derive formal association postictal suppression index psi ect seizure quality index wholebrain modal average controllability nct metrics based white matter brain network architecture respectively exploiting known association ect response psi hypothesized association controllability metrics ect response mediated psi formally tested conjecture n depressive patients undergoing ect show wholebrain controllability metrics based preect structural connectome data predict ect response accordance hypotheses addition show expected mediation effects via psi importantly theoretically motivated metrics least par extensive machine learning models based preect connectome data summary derived tested controltheoretic framework capable predicting ect response based individual brain network architecture makes testable quantitative predictions regarding individual therapeutic response corroborated strong empirical evidence work might constitute starting point comprehensive quantitative theory personalized ect interventions rooted control theory",2.15,0.848,2021
"Anirudh Goyal, Aniket Didolkar, Alex Lamb, Kartikeya Badola, Nan
  Rosemary Ke, Nasim Rahaman, Jonathan Binas, Charles Blundell, Michael Mozer,
  Yoshua Bengio","Coordination Among Neural Modules Through a Shared Global Workspace",2022-03-24,"deep learning seen movement away representing examples monolithic hidden state towards richly structured state example transformers segment position objectcentric architectures decompose images entities architectures interactions different elements modeled via pairwise interactions transformers make use selfattention incorporate information positions objectcentric architectures make use graph neural networks model interactions among entities however pairwise interactions may achieve global coordination coherent integrated representation can used downstream tasks cognitive science global workspace architecture proposed functionally specialized components share information common bandwidthlimited communication channel explore use communication channel context deep learning modeling structure complex environments proposed method includes shared workspace communication among different specialist modules takes place due limits communication bandwidth specialist modules must compete access show capacity limitations rational basis encourage specialization compositionality facilitate synchronization otherwise independent specialists",8.35,0.869,2022
"Ivan Svogor, Christian Eichenberger, Markus Spanring, Moritz Neun,
  Michael Kopp","Profiling and Improving the PyTorch Dataloader for high-latency Storage:
  A Technical Report",2022-12-08,"growing number machine learning frameworks recently made deep learning accessible wider audience engineers scientists practitioners allowing straightforward use complex neural network architectures algorithms however since deep learning rapidly evolving theoretical advancements also respect hardware software engineering ml frameworks often lose backward compatibility introduce technical debt can lead bottlenecks suboptimal resource utilization moreover focus cases deep learning engineering rather new models theoretical advancements work however focus engineering specifically data loading pipeline pytorch framework designed series benchmarks outline performance issues certain steps data loading process findings show classification tasks involve loading many files like images training walltime can significantly improved new modified concurrentdataloader can reach improvements gpu utilization significantly reduce batch loading time x allows use cloudbased slike object storage datasets comparable training time datasets stored local drives",8.25,0.84,2022
