doi,abstract,title,journal,description,cover_date,first_name,last_name,date
10.1001/archneur.1984.04050230026012,"We compared local cerebral glucose metabolism, as determined by positron emission tomography following administration of fluorodeoxyglucose F 18, with Wechsler Adult Intelligence Scale (WAIS) scores in 22 right-handed persons. Five study subjects were normal volunteers and the remainder had Alzheimer's disease. Subtest scores within the verbal IQ group or the performance IQ group were generally highly interrelated; there was usually no correlation between the verbal and performance subtests. The cortical distribution of regions in which glucose metabolism was most closely associated with verbal subtest scores generally centered in the left parasylvian area. In contrast, scores on the performance subtests mainly localized to the right posterior parietal region. Most WAIS subtests thus appeared to evaluate primarily either verbal or visuospatial cognitive functions and either left parasylvian or right posteroparietal cortical activity. © 1984, American Medical Association. All rights reserved.",Wechsler Adult Intelligence Scale Performance: Cortical Localization by Fluorodeoxyglucose F18-Positron Emission Tomography,Archives of Neurology,Article,1/1/1984,Rodney,Brooks,1984
10.1001/jamainternmed.2015.3043,"Copyright 2015 American Medical Association. All rights reserved.IMPORTANCE: Screening mammography rates vary considerably by location in the United States, providing a natural opportunity to investigate the associations of screening with breast cancer incidence and mortality, which are subjects of debate. OBJECTIVE: To examine the associations between rates of modern screening mammography and the incidence of breast cancer, mortality from breast cancer, and tumor size. DESIGN, SETTING, AND PARTICIPANTS: An ecological study of 16 million women 40 years or older who resided in 547 counties reporting to the Surveillance, Epidemiology, and End Results cancer registries during the year 2000. Of these women, 53 207 were diagnosed with breast cancer that year and followed up for the next 10 years. The study covered the period January 1, 2000, to December 31,2010, and the analysis was performed between April 2013 and March 2015. EXPOSURES: Extent of screening in each county, assessed as the percentage of included women who received a screening mammogram in the prior 2 years. MAIN OUTCOMES AND MEASURES: Breast cancer incidence in 2000 and incidence-based breast cancer mortality during the 10-year follow-up. Incidence and mortality were calculated for each county and age adjusted to the US population. RESULTS: A cross US counties, there was a positive correlation between the extent of screening and breast cancer incidence (weighted r = 0.54; P <.001) but not with breast cancer mortality (weighted r = 0.00; P =.98). An absolute increase of 10 percentage points in the extent of screening was accompanied by 16% more breast cancer diagnoses (relative rate [RR], 1.16; 95% CI, 1.13-1.19) but no significant change in breast cancer deaths (RR, 1.01; 95% CI, 0.96-1.06). In an analysis stratified by tumor size, we found that more screening was strongly associated with an increased incidence of small breast cancers (<2 cm) but not with a decreased incidence of larger breast cancers (<2 cm). An increase of 10 percentage points in screening was associated with a 25% increase in the incidence of small breast cancers (RR, 1.25; 95% CI, 1.18-1.32) and a 7% increase in the incidence of larger breast cancers (RR, 1.07; 95% CI, 1.02-1.12). CONCLUSIONS AND RELEVANCE: When analyzed at the county level, the clearest result of mammography screening is the diagnosis of additional small cancers. Furthermore, there is no concomitant decline in the detection of larger cancers, which might explain the absence of any significant difference in the overall rate of death from the disease. Together, these findings suggest widespread overdiagnosis.","Breast cancer screening, incidence, and mortality across US counties",JAMA Internal Medicine,Article,9/1/2015,Rediet,Abebe,2015
10.1001/jamanetworkopen.2019.6700,"© 2019 Feldman S et al. JAMA Network Open.Importance: Analyses of female representation in clinical studies have been limited in scope and scale. Objective: To perform a large-scale analysis of global enrollment sex bias in clinical studies. Design, Setting, and Participants: In this cross-sectional study, clinical studies from published articles from PubMed from 1966 to 2018 and records from Aggregate Analysis of ClinicalTrials.gov from 1999 to 2018 were identified. Global disease prevalence was determined for male and female patients in 11 disease categories from the Global Burden of Disease database: cardiovascular, diabetes, digestive, hepatitis (types A, B, C, and E), HIV/AIDS, kidney (chronic), mental, musculoskeletal, neoplasms, neurological, and respiratory (chronic). Machine reading algorithms were developed that extracted sex data from tables in articles and records on December 31, 2018, at an artificial intelligence research institute. Male and female participants in 43135 articles (792004915 participants) and 13165 records (12977103 participants) were included. Main Outcomes and Measures: Sex bias was defined as the difference between the fraction of female participants in study participants minus prevalence fraction of female participants for each disease category. A total of 1000 bootstrap estimates of sex bias were computed by resampling individual studies with replacement. Sex bias was reported as mean and 95% bootstrap confidence intervals from articles and records in each disease category over time (before or during 1993 to 2018), with studies or participants as the measurement unit. Results: There were 792004915 participants, including 390470834 female participants (49%), in articles and 12977103 participants, including 6351619 female participants (49%), in records. With studies as measurement unit, substantial female underrepresentation (sex bias = -0.05) was observed in 7 of 11 disease categories, especially HIV/AIDS (mean for articles, -0.17 [95% CI, -0.18 to -0.16]), chronic kidney diseases (mean, -0.17 [95% CI, -0.17 to -0.16]), and cardiovascular diseases (mean, -0.14 [95% CI, -0.14 to -0.13]). Sex bias in articles for all categories combined was unchanged over time with studies as measurement unit (range, -0.15 [95% CI, -0.16 to -0.13] to -0.10 [95% CI, -0.14 to -0.06]), but improved from before or during 1993 (mean, -0.11 [95% CI, -0.16 to -0.05]) to 2014 to 2018 (mean, -0.05 [95% CI, -0.09 to -0.02]) with participants as the measurement unit. Larger study size was associated with greater female representation. Conclusions and Relevance: Automated extraction of the number of participants in clinical reports provides an effective alternative to manual analysis of demographic bias. Despite legal and policy initiatives to increase female representation, sex bias against female participants in clinical studies persists. Studies with more participants have greater female representation. Differences between sex bias estimates with studies vs participants as measurement unit, and between articles vs records, suggest that sex bias with both measures and data sources should be reported.",Quantifying Sex Bias in Clinical Studies at Scale with Automated Data Extraction,JAMA Network Open,Article,7/5/2019,Oren,Etzioni,2019
10.1001/jamaneurol.2023.0265,"© 2023 American Medical Association. All rights reserved.IMPORTANCE The benefit of reperfusion therapies for acute ischemic stroke decreases over time. This decreasing benefit is presumably due to the disappearance of salvageable ischemic brain tissue (ie, the penumbra). OBJECTIVE To study the association between stroke onset-to-imaging time and penumbral volume in patients with acute ischemic stroke with a large vessel occlusion. DESIGN, SETTING, AND PARTICIPANTS A retrospective, multicenter, cross-sectional study was conducted from January 1, 2015, to June 30, 2022. To limit selection bias, patients were selected from (1) the prospective registries of 2 comprehensive centers with systematic use of magnetic resonance imaging (MRI) with perfusion, including both thrombectomy-treated and untreated patients, and (2) 1 prospective thrombectomy study in which MRI with perfusion was acquired per protocol but treatment decisions were made with clinicians blinded to the results. Consecutive patients with acute stroke with intracranial internal carotid artery or first segment of middle cerebral artery occlusion and adequate quality MRI, including perfusion, performed within 24 hours from known symptoms onset were included in the analysis. EXPOSURES Time from stroke symptom onset to baseline MRI. MAIN OUTCOMES AND MEASURES Penumbral volume, measured using automated software, was defined as the volume of tissue with critical hypoperfusion (time to maximum >6 seconds) minus the volume of the ischemic core. Substantial penumbra was defined as greater than or equal to 15 mL and a mismatch ratio (time to maximum >6-second volume/core volume) greater than or equal to 1.8. RESULTS Of 940 patients screened, 516 were excluded (no MRI, n = 19; no perfusion imaging, n = 59; technically inadequate perfusion imaging, n = 75; second segment of the middle cerebral artery occlusion, n = 156; unwitnessed stroke onset, n = 207). Of 424 included patients, 226 (53.3%) were men, and mean (SD) age was 68.9 (15.1) years. Median onset-to-imaging time was 3.8 (IQR, 2.4-5.5) hours. Only 16 patients were admitted beyond 10 hours from symptom onset. Median core volume was 24 (IQR, 8-76) mL and median penumbral volume was 58 (IQR, 29-91) mL. An increment in onset-to-imaging time by 1 hour resulted in a decrease of 3.1 mL of penumbral volume (ß coefficient = -3.1; 95% CI, -4.6 to -1.5; P < .001) and an increase of 3.0 mL of core volume (ß coefficient = 3.0; 95% CI, 1.3-4.7; P < .001) after adjustment for confounders. The presence of a substantial penumbra ranged from approximately 80% in patients imaged at 1 hour to 70% at 5 hours, 60% at 10 hours, and 40% at 15 hours. CONCLUSIONS AND RELEVANCE Time is associated with increasing core and decreasing penumbral volumes. Despite this, a substantial percentage of patients have notable penumbra in extended time windows; the findings of this study suggest that a large proportion of patients with large vessel occlusion may benefit from therapeutic interventions.",Quantification of Penumbral Volume in Association With Time From Stroke Onset in Acute Ischemic Stroke With Large Vessel Occlusion,JAMA Neurology,Article,5/8/2023,François,Chollet,2023
10.1002/9781119527183,"© 2020 by The Institute of Electrical and Electronics Engineers, Inc.Simulation and Computational Red Teaming for Problem Solving offers a review of computer simulation that is grounded in a multi-disciplinary approach. The authors present the theoretical foundations of simulation and modeling paradigms from the perspective of an analyst. The book provides the fundamental background information needed for designing and developing consistent and useful simulations. In addition to this basic information, the authors explore several advanced topics. The book's advanced topics demonstrate how modern artificial intelligence and computational intelligence concepts and techniques can be combined with various simulation paradigms for solving complex and critical problems. Authors examine the concept of Computational Red Teaming to reveal how the combined fundamentals and advanced techniques are used successfully for solving and testing complex real-world problems. This important book: Demonstrates how computer simulation and Computational Red Teaming support each other for solving complex problems. Describes the main approaches to modeling real-world phenomena and embedding these models into computer simulations. Explores how a number of advanced artificial intelligence and computational intelligence concepts are used in conjunction with the fundamental aspects of simulation Written for researchers and students in the computational modelling and data analysis fields, Simulation and Computational Red Teaming for Problem Solving covers the foundation and the standard elements of the process of building a simulation and explores the simulation topic with a modern research approach.",Simulation and computational red teaming for problem solving,Simulation and Computational Red Teaming for Problem Solving,Book,10/25/2019,Hussein,Abbass,2019
10.1002/9781119698821.ch4,"© 2021 by The Institute of Electrical and Electronics Engineers, Inc. All rights reserved.As the world embraces the evolution of cognitive cyber-physical systems, there is an emergence of systems with the ability to comprehend and act on information efficiently while also supporting human operators to achieve ethically aligned mission objectives consistently. This human-autonomy teaming (HAT) relationship will evolve with technology and increasing levels of autonomy. It is essential to identify the role of trust and systematically develop to that role to minimize challenges in HAT relationships. Life-learning processes are needed to guide system developers to assess meaningful interactions and to refine the critical contexts that require trust continuously. By assessing the presence of trust, cognitive competence, and meaningful interactions, human factors specialists and human systems engineers will also be able to assess the sociotechnical system evolution. This chapter first defines trust, both as a concept and for use in HAT. It then proposes processes for how to assess trust, especially to meet recently proposed IEEE standards and United Nations articles concerning meaningful human control. The chapter then examines how our research program on the herding of sheep using unmanned aerial vehicles (UAVs) is validating HAT concepts and the proposed processes. The program is concerned with teaming farmers with smart autonomous capabilities to assure meaningful farmers’ control. Meaningfulness needs to account for public obligations and ethical responsibilities. This application area potentially solves extant ethical challenges in shepherding in Australia concerning the use of dogs and timely monitoring and action in vast sheep stations while also allowing the investigation of ethical challenges around continually evolving artificial intelligence in the system. Ethically designed HAT systems are about pragmatic trade-offs with prior processes, yet in this future context of life learning of intelligent systems, can now be revised through-life with changing expectations and improvements.",Life learning of smart autonomous systems for meaningful human-autonomy teaming,A Framework of Human Systems Engineering: Applications and Case Studies,Book Chapter,1/1/2020,Hussein,Abbass,2020
10.1002/cpe.1409,"We describe the results of the RDF(S) activity within the Open Grid Forum (http://www.ogf.org) (OGF) Database Access and Integration Services (DAIS) Working Group (http://forge.gridforum.org/projects/ dais-wg) whose objective is to develop standard service-based grid access mechanisms for data expressed in RDF and RDF Schema. We produce two specifications, focused on the provision of SPARQL querying capabilities for accessing RDF data and a set of RDF Schema ontology handling primitives for creating, retrieving, updating, and deleting RDF data. In this paper we present a set of use cases that justify this work and an overview of these specifications, which will enter in editorial process at OGF25. We conclude by outlining the future work that will be made in the context of this standardization process. © 2009 John Wiley & Sons, Ltd.",Accessing RDF(S) data resources in service-based Grid infrastructures,Concurrency and Computation: Practice and Experience,Article,6/10/2009,Asunción Gómez,Pérez,2009
10.1002/jcc.540070508,"SYNCHEM2 is a large knowledge-based domain-specific heuristic problem solving system that applies the methodology of artificial intelligence to the problem domain of synthetic organic chemistry. The program may be used for both synthetic and retrosynthetic exploration of the reaction transform space. We describe some experiments that might lead to the development of a special purpose version of the program for the investigation and prediction of environmental and metabolic processes undergone by chemicals that are released into the biosphere or directly ingested. The test system was used to predict the metabolites of three molecules of considerable biochemical interest, benzo[a]pyrene (known to be metabolically transformed into an active carcinogen), paramethyl substituted phenylalanine (which undergoes the NIH-shift when metabolized), and haloperidol (an important and widely used neuroleptic). In the case of the benzo[a]pyrene, the program predicted all of the known metabolites, as well as several others. All of the 11 compounds predicted as metabolites of 4-methylphenylalanine, which included the major known metabolite that exhibits the NIH-shift, were reasonable. Contained among the predicted metabolic pathways for haloperidol was a credible explanation for the occurrence of a known haloperidol metabolite derived from a substituted phenylacetic acid, but for which no intermediates have been isolated. The program was able to bridge the problem space between haloperidol and the derived hippuric acid by using an unsuspected, but metabolically sound pinacol rearrangement. Copyright © 1986 John Wiley & Sons, Inc.",Computer Simulation of Metabolic Transformation,Journal of Computational Chemistry,Article,1/1/1986,Herbert,Gelernter,1986
10.1002/lno.12152,"© 2022 The Authors. Limnology and Oceanography published by Wiley Periodicals LLC on behalf of Association for the Sciences of Limnology and Oceanography.Ocean warming endangers coastal ecosystems through increased risk of infectious disease, yet detection, surveillance, and forecasting of marine diseases remain limited. Eelgrass (Zostera marina) meadows provide essential coastal habitat and are vulnerable to a temperature-sensitive wasting disease caused by the protist Labyrinthula zosterae. We assessed wasting disease sensitivity to warming temperatures across a 3500 km study range by combining long-term satellite remote sensing of ocean temperature with field surveys from 32 meadows along the Pacific coast of North America in 2019. Between 11% and 99% of plants were infected in individual meadows, with up to 35% of plant tissue damaged. Disease prevalence was 3× higher in locations with warm temperature anomalies in summer, indicating that the risk of wasting disease will increase with climate warming throughout the geographic range for eelgrass. Large-scale surveys were made possible for the first time by the Eelgrass Lesion Image Segmentation Application, an artificial intelligence (AI) system that quantifies eelgrass wasting disease 5000× faster and with comparable accuracy to a human expert. This study highlights the value of AI in marine biological observing specifically for detecting widespread climate-driven disease outbreaks.",Disease surveillance by artificial intelligence links eelgrass wasting disease to ocean warming across latitudes,Limnology and Oceanography,Article,7/1/2022,Carla,Gomes,2022
10.1002/wcms.1608,"© 2022 The Authors. WIREs Computational Molecular Science published by Wiley Periodicals LLC.Development of new products often relies on the discovery of novel molecules. While conventional molecular design involves using human expertise to propose, synthesize, and test new molecules, this process can be cost and time intensive, limiting the number of molecules that can be reasonably tested. Generative modeling provides an alternative approach to molecular discovery by reformulating molecular design as an inverse design problem. Here, we review the recent advances in the state-of-the-art of generative molecular design and discusses the considerations for integrating these models into real molecular discovery campaigns. We first review the model design choices required to develop and train a generative model including common 1D, 2D, and 3D representations of molecules and typical generative modeling neural network architectures. We then describe different problem statements for molecular discovery applications and explore the benchmarks used to evaluate models based on those problem statements. Finally, we discuss the important factors that play a role in integrating generative models into experimental workflows. Our aim is that this review will equip the reader with the information and context necessary to utilize generative modeling within their domain. This article is categorized under: Data Science > Artificial Intelligence/Machine Learning.",Generative models for molecular discovery: Recent advances and challenges,Wiley Interdisciplinary Reviews: Computational Molecular Science,Review,9/1/2022,Regina,Barzilay,2022
