"doi","abstract","title","journal","description","cover_date","first_name","last_name","date","year"
"10.1001/archneur.1984.04050230026012"," compared local cerebral glucose metabolism determined positron emission tomography following administration fluorodeoxyglucose f wechsler adult intelligence scale wais scores righthanded persons five study subjects normal volunteers remainder alzheimers disease subtest scores within verbal iq group performance iq group generally highly interrelated usually correlation verbal performance subtests cortical distribution regions glucose metabolism closely associated verbal subtest scores generally centered left parasylvian area contrast scores performance subtests mainly localized right posterior parietal region wais subtests thus appeared evaluate primarily either verbal visuospatial cognitive functions either left parasylvian right posteroparietal cortical activity american medical association rights reserved","Wechsler Adult Intelligence Scale Performance: Cortical Localization by Fluorodeoxyglucose F18-Positron Emission Tomography","Archives of Neurology","Article",1984-01-01,"Rodney","Brooks",1984,"1984"
"10.1001/jamainternmed.2015.3043","copyright american medical association rights reservedimportance screening mammography rates vary considerably location united states providing natural opportunity investigate associations screening breast cancer incidence mortality subjects debate objective examine associations rates modern screening mammography incidence breast cancer mortality breast cancer tumor size design setting participants ecological study million women years older resided counties reporting surveillance epidemiology end results cancer registries year women diagnosed breast cancer year followed next years study covered period january december analysis performed april march exposures extent screening county assessed percentage included women received screening mammogram prior years main outcomes measures breast cancer incidence incidencebased breast cancer mortality year followup incidence mortality calculated county age adjusted us population results cross us counties positive correlation extent screening breast cancer incidence weighted r p breast cancer mortality weighted r p absolute increase percentage points extent screening accompanied breast cancer diagnoses relative rate rr ci significant change breast cancer deaths rr ci analysis stratified tumor size found screening strongly associated increased incidence small breast cancers cm decreased incidence larger breast cancers cm increase percentage points screening associated increase incidence small breast cancers rr ci increase incidence larger breast cancers rr ci conclusions relevance analyzed county level clearest result mammography screening diagnosis additional small cancers furthermore concomitant decline detection larger cancers might explain absence significant difference overall rate death disease together findings suggest widespread overdiagnosis","Breast cancer screening, incidence, and mortality across US counties","JAMA Internal Medicine","Article",2015-09-01,"Rediet","Abebe",2015,"2015"
"10.1001/jamanetworkopen.2019.6700"," feldman s et al jama network openimportance analyses female representation clinical studies limited scope scale objective perform largescale analysis global enrollment sex bias clinical studies design setting participants crosssectional study clinical studies published articles pubmed records aggregate analysis clinicaltrialsgov identified global disease prevalence determined male female patients disease categories global burden disease database cardiovascular diabetes digestive hepatitis types b c e hivaids kidney chronic mental musculoskeletal neoplasms neurological respiratory chronic machine reading algorithms developed extracted sex data tables articles records december artificial intelligence research institute male female participants articles participants records participants included main outcomes measures sex bias defined difference fraction female participants study participants minus prevalence fraction female participants disease category total bootstrap estimates sex bias computed resampling individual studies replacement sex bias reported mean bootstrap confidence intervals articles records disease category time studies participants measurement unit results participants including female participants articles participants including female participants records studies measurement unit substantial female underrepresentation sex bias observed disease categories especially hivaids mean articles ci chronic kidney diseases mean ci cardiovascular diseases mean ci sex bias articles categories combined unchanged time studies measurement unit range ci ci improved mean ci mean ci participants measurement unit larger study size associated greater female representation conclusions relevance automated extraction number participants clinical reports provides effective alternative manual analysis demographic bias despite legal policy initiatives increase female representation sex bias female participants clinical studies persists studies participants greater female representation differences sex bias estimates studies vs participants measurement unit articles vs records suggest sex bias measures data sources reported","Quantifying Sex Bias in Clinical Studies at Scale with Automated Data Extraction","JAMA Network Open","Article",2019-07-05,"Oren","Etzioni",2019,"2019"
"10.1001/jamaneurol.2023.0265"," american medical association rights reservedimportance benefit reperfusion therapies acute ischemic stroke decreases time decreasing benefit presumably due disappearance salvageable ischemic brain tissue ie penumbra objective study association stroke onsettoimaging time penumbral volume patients acute ischemic stroke large vessel occlusion design setting participants retrospective multicenter crosssectional study conducted january june limit selection bias patients selected prospective registries comprehensive centers systematic use magnetic resonance imaging mri perfusion including thrombectomytreated untreated patients prospective thrombectomy study mri perfusion acquired per protocol treatment decisions made clinicians blinded results consecutive patients acute stroke intracranial internal carotid artery first segment middle cerebral artery occlusion adequate quality mri including perfusion performed within hours known symptoms onset included analysis exposures time stroke symptom onset baseline mri main outcomes measures penumbral volume measured using automated software defined volume tissue critical hypoperfusion time maximum seconds minus volume ischemic core substantial penumbra defined greater equal ml mismatch ratio time maximum second volumecore volume greater equal results patients screened excluded mri n perfusion imaging n technically inadequate perfusion imaging n second segment middle cerebral artery occlusion n unwitnessed stroke onset n included patients men mean sd age years median onsettoimaging time iqr hours patients admitted beyond hours symptom onset median core volume iqr ml median penumbral volume iqr ml increment onsettoimaging time hour resulted decrease ml penumbral volume ß coefficient ci p increase ml core volume ß coefficient ci p adjustment confounders presence substantial penumbra ranged approximately patients imaged hour hours hours hours conclusions relevance time associated increasing core decreasing penumbral volumes despite substantial percentage patients notable penumbra extended time windows findings study suggest large proportion patients large vessel occlusion may benefit therapeutic interventions","Quantification of Penumbral Volume in Association With Time From Stroke Onset in Acute Ischemic Stroke With Large Vessel Occlusion","JAMA Neurology","Article",2023-05-08,"François","Chollet",2023,"2023"
"10.1002/9781119527183"," institute electrical electronics engineers incsimulation computational red teaming problem solving offers review computer simulation grounded multidisciplinary approach authors present theoretical foundations simulation modeling paradigms perspective analyst book provides fundamental background information needed designing developing consistent useful simulations addition basic information authors explore several advanced topics books advanced topics demonstrate modern artificial intelligence computational intelligence concepts techniques can combined various simulation paradigms solving complex critical problems authors examine concept computational red teaming reveal combined fundamentals advanced techniques used successfully solving testing complex realworld problems important book demonstrates computer simulation computational red teaming support solving complex problems describes main approaches modeling realworld phenomena embedding models computer simulations explores number advanced artificial intelligence computational intelligence concepts used conjunction fundamental aspects simulation written researchers students computational modelling data analysis fields simulation computational red teaming problem solving covers foundation standard elements process building simulation explores simulation topic modern research approach","Simulation and computational red teaming for problem solving","Simulation and Computational Red Teaming for Problem Solving","Book",2019-10-25,"Hussein","Abbass",2019,"2019"
"10.1002/9781119698821.ch4"," institute electrical electronics engineers inc rights reservedas world embraces evolution cognitive cyberphysical systems emergence systems ability comprehend act information efficiently also supporting human operators achieve ethically aligned mission objectives consistently humanautonomy teaming hat relationship will evolve technology increasing levels autonomy essential identify role trust systematically develop role minimize challenges hat relationships lifelearning processes needed guide system developers assess meaningful interactions refine critical contexts require trust continuously assessing presence trust cognitive competence meaningful interactions human factors specialists human systems engineers will also able assess sociotechnical system evolution chapter first defines trust concept use hat proposes processes assess trust especially meet recently proposed ieee standards united nations articles concerning meaningful human control chapter examines research program herding sheep using unmanned aerial vehicles uavs validating hat concepts proposed processes program concerned teaming farmers smart autonomous capabilities assure meaningful farmers’ control meaningfulness needs account public obligations ethical responsibilities application area potentially solves extant ethical challenges shepherding australia concerning use dogs timely monitoring action vast sheep stations also allowing investigation ethical challenges around continually evolving artificial intelligence system ethically designed hat systems pragmatic tradeoffs prior processes yet future context life learning intelligent systems can now revised throughlife changing expectations improvements","Life learning of smart autonomous systems for meaningful human-autonomy teaming","A Framework of Human Systems Engineering: Applications and Case Studies","Book Chapter",2020-01-01,"Hussein","Abbass",2020,"2020"
"10.1002/cpe.1409"," describe results rdfs activity within open grid forum httpwwwogforg ogf database access integration services dais working group httpforgegridforumorgprojects daiswg whose objective develop standard servicebased grid access mechanisms data expressed rdf rdf schema produce two specifications focused provision sparql querying capabilities accessing rdf data set rdf schema ontology handling primitives creating retrieving updating deleting rdf data paper present set use cases justify work overview specifications will enter editorial process ogf conclude outlining future work will made context standardization process john wiley sons ltd","Accessing RDF(S) data resources in service-based Grid infrastructures","Concurrency and Computation: Practice and Experience","Article",2009-06-10,"Asunción Gómez","Pérez",2009,"2009"
"10.1002/jcc.540070508","synchem large knowledgebased domainspecific heuristic problem solving system applies methodology artificial intelligence problem domain synthetic organic chemistry program may used synthetic retrosynthetic exploration reaction transform space describe experiments might lead development special purpose version program investigation prediction environmental metabolic processes undergone chemicals released biosphere directly ingested test system used predict metabolites three molecules considerable biochemical interest benzoapyrene known metabolically transformed active carcinogen paramethyl substituted phenylalanine undergoes nihshift metabolized haloperidol important widely used neuroleptic case benzoapyrene program predicted known metabolites well several others compounds predicted metabolites methylphenylalanine included major known metabolite exhibits nihshift reasonable contained among predicted metabolic pathways haloperidol credible explanation occurrence known haloperidol metabolite derived substituted phenylacetic acid intermediates isolated program able bridge problem space haloperidol derived hippuric acid using unsuspected metabolically sound pinacol rearrangement copyright john wiley sons inc","Computer Simulation of Metabolic Transformation","Journal of Computational Chemistry","Article",1986-01-01,"Herbert","Gelernter",1986,"1986"
"10.1002/lno.12152"," authors limnology oceanography published wiley periodicals llc behalf association sciences limnology oceanographyocean warming endangers coastal ecosystems increased risk infectious disease yet detection surveillance forecasting marine diseases remain limited eelgrass zostera marina meadows provide essential coastal habitat vulnerable temperaturesensitive wasting disease caused protist labyrinthula zosterae assessed wasting disease sensitivity warming temperatures across km study range combining longterm satellite remote sensing ocean temperature field surveys meadows along pacific coast north america plants infected individual meadows plant tissue damaged disease prevalence × higher locations warm temperature anomalies summer indicating risk wasting disease will increase climate warming throughout geographic range eelgrass largescale surveys made possible first time eelgrass lesion image segmentation application artificial intelligence ai system quantifies eelgrass wasting disease × faster comparable accuracy human expert study highlights value ai marine biological observing specifically detecting widespread climatedriven disease outbreaks","Disease surveillance by artificial intelligence links eelgrass wasting disease to ocean warming across latitudes","Limnology and Oceanography","Article",2022-07-01,"Carla","Gomes",2022,"2022"
"10.1002/wcms.1608"," authors wires computational molecular science published wiley periodicals llcdevelopment new products often relies discovery novel molecules conventional molecular design involves using human expertise propose synthesize test new molecules process can cost time intensive limiting number molecules can reasonably tested generative modeling provides alternative approach molecular discovery reformulating molecular design inverse design problem review recent advances stateoftheart generative molecular design discusses considerations integrating models real molecular discovery campaigns first review model design choices required develop train generative model including common d d d representations molecules typical generative modeling neural network architectures describe different problem statements molecular discovery applications explore benchmarks used evaluate models based problem statements finally discuss important factors play role integrating generative models experimental workflows aim review will equip reader information context necessary utilize generative modeling within domain article categorized data science artificial intelligencemachine learning","Generative models for molecular discovery: Recent advances and challenges","Wiley Interdisciplinary Reviews: Computational Molecular Science","Review",2022-09-01,"Regina","Barzilay",2022,"2022"
